name,description,price,quantity,category,manufacturer,supplier,unit,discount_percent,base_price,image_url
"Ботинки рабочие","Кожа натуральная",4500.00,15,Ботинки,Завод им. Громова,ООО Снабжение,пара,0,,
"Кроссовки спорт","Сетка",2800.00,14,Кроссовки,RunStep Ltd,Импорт-Юг,пара,10,3200.00,
"Туфли классика","Лак",5200.00,8,Туфли,Городская фабрика,ОптТорг,пара,18,5800.00,
"Сапоги зимние","Мех натуральный",8900.00,6,Сапоги,Север-М,ООО ОбувьСевер,пара,5,9400.00,
"Кеды город","Холст",1900.00,22,Кеды,CanvasPro,Маркет Обувь,пара,0,,
"Сандалии летние","Кожа",2100.00,14,Сандалии,ЮгТекс,Импорт Плюс,пара,12,2400.00,
"Босоножки женские","Эко-кожа",1750.00,9,Босоножки,StyleLine,Опт Юг,пара,0,,
"Кроссовки бег","Пена EVA",3400.00,11,Кроссовки,RunStep Ltd,Импорт-Юг,пара,20,4200.00,
"Тапочки домашние","Текстиль",450.00,40,Тапочки,ДомКомфорт,ООО Текстиль,пара,0,,
"Ботинки Челси","Кожа",6100.00,5,Ботинки,Городская фабрика,ОптТорг,пара,8,6600.00,
"Кроссовки детские","Сетка",1500.00,18,Кроссовки,KidsRun,ДетОпт,пара,0,,
"Туфли оксфорд","Кожа",4800.00,7,Туфли,ClassicShoe,ООО Снабжение,пара,0,,
"Сапоги резиновые","ПВХ",1200.00,25,Сапоги,ДождьПро,Резина Опт,пара,0,,
"Кроссовки трейл","Усиленная подошва",4100.00,4,Кроссовки,RunStep Ltd,Импорт-Юг,пара,25,5500.00,
"Шлёпанцы пляж","EVA",650.00,0,Шлёпанцы,ПляжМаркет,Лето Опт,пара,0,,
"Ботинки горные","Мембрана",7200.00,3,Ботинки,AlpineWear,Туризм Опт,пара,15,8500.00,
"Кроссовки фитнес","Сетка + TPU",2600.00,16,Кроссовки,FitStep,СпортСнаб,пара,0,,
"Туфли лодочка","Замша",3900.00,6,Туфли,StyleLine,Опт Юг,пара,10,4300.00,
"Ботинки утеплённые","Комбинированные",5500.00,10,Ботинки,Север-М,ООО ОбувьСевер,пара,0,,
